iter	Passed	Remaining
0	54	10901
1	113	11214
2	176	11584
3	223	10970
4	273	10680
5	326	10571
6	385	10634
7	439	10550
8	488	10366
9	539	10244
10	583	10024
11	625	9797
12	666	9586
13	708	9414
14	751	9271
15	803	9241
16	861	9275
17	918	9282
18	978	9319
19	1033	9304
20	1082	9230
21	1145	9271
22	1202	9255
23	1256	9216
24	1303	9121
25	1343	8990
26	1405	9007
27	1460	8970
28	1514	8928
29	1562	8854
30	1603	8743
31	1648	8654
32	1694	8572
33	1740	8497
34	1786	8420
35	1831	8343
36	1878	8275
37	1939	8267
38	1999	8254
39	2057	8230
40	2113	8195
41	2170	8164
42	2215	8088
43	2259	8009
44	2301	7926
45	2343	7846
46	2389	7777
47	2432	7701
48	2487	7665
49	2548	7645
50	2606	7616
51	2650	7544
52	2696	7480
53	2741	7412
54	2788	7351
55	2835	7290
56	2878	7221
57	2921	7152
58	2964	7085
59	3007	7016
60	3054	6961
61	3102	6906
62	3150	6851
63	3198	6796
64	3249	6749
65	3296	6693
66	3347	6644
67	3397	6595
68	3452	6554
69	3499	6499
70	3542	6436
71	3582	6369
72	3624	6305
73	3664	6238
74	3707	6179
75	3746	6112
76	3790	6055
77	3835	5999
78	3878	5940
79	3929	5894
80	3987	5858
81	4043	5818
82	4088	5763
83	4131	5705
84	4175	5649
85	4216	5589
86	4258	5531
87	4301	5474
88	4343	5417
89	4386	5361
90	4433	5310
91	4478	5257
92	4523	5204
93	4568	5151
94	4613	5098
95	4659	5047
96	4706	4997
97	4752	4946
98	4802	4899
99	4856	4856
100	4909	4812
101	4951	4757
102	4991	4700
103	5033	4646
104	5075	4592
105	5116	4536
106	5157	4483
107	5203	4432
108	5245	4379
109	5287	4326
110	5331	4274
111	5379	4226
112	5426	4178
113	5475	4130
114	5522	4081
115	5566	4030
116	5612	3981
117	5660	3933
118	5702	3881
119	5746	3830
120	5790	3780
121	5837	3731
122	5884	3684
123	5932	3635
124	5978	3587
125	6026	3539
126	6071	3490
127	6114	3439
128	6162	3391
129	6211	3344
130	6272	3303
131	6330	3261
132	6385	3217
133	6436	3170
134	6481	3120
135	6525	3070
136	6570	3021
137	6615	2972
138	6664	2924
139	6710	2875
140	6751	2824
141	6792	2774
142	6839	2726
143	6888	2678
144	6938	2631
145	6993	2586
146	7045	2540
147	7099	2494
148	7150	2447
149	7200	2400
150	7247	2351
151	7287	2301
152	7331	2252
153	7370	2201
154	7416	2153
155	7457	2103
156	7504	2055
157	7551	2007
158	7596	1958
159	7644	1911
160	7691	1863
161	7738	1815
162	7781	1766
163	7828	1718
164	7872	1669
165	7917	1621
166	7970	1575
167	8022	1528
168	8069	1480
169	8113	1431
170	8160	1383
171	8210	1336
172	8259	1289
173	8305	1241
174	8354	1193
175	8403	1145
176	8446	1097
177	8491	1049
178	8534	1001
179	8583	953
180	8626	905
181	8670	857
182	8712	809
183	8755	761
184	8797	713
185	8842	665
186	8886	617
187	8927	569
188	8968	521
189	9008	474
190	9048	426
191	9088	378
192	9144	331
193	9196	284
194	9247	237
195	9297	189
196	9344	142
197	9388	94
198	9432	47
199	9473	0
